ts_l_ns,ts_r_ns,delta_ms
7885885389000,7885904285000,18.896
7885921089000,7885939984000,18.895
7885956789000,7885975684000,18.895
7885992489000,7886011384000,18.895
7886028189000,7886047083000,18.894
7886063888000,7886082783000,18.895
7886099588000,7886118482000,18.894
7886135288000,7886154182000,18.894
7886170987000,7886189882000,18.895
7886206687000,7886225581000,18.894
7886242387000,7886261281000,18.894
7886278087000,7886296980000,18.893
7886313787000,7886332680000,18.893
7886349486000,7886368380000,18.894
7886385186000,7886404079000,18.893
7886420886000,7886439779000,18.893
7886456585000,7886475478000,18.893
7886492286000,7886511178000,18.892
7886527985000,7886546877000,18.892
7886563685000,7886582577000,18.892
7886599385000,7886618276000,18.891
7886635084000,7886653976000,18.892
7886670784000,7886689676000,18.892
7886706484000,7886725375000,18.891
7886742184000,7886761075000,18.891
7886777884000,7886796774000,18.89
7886813583000,7886832474000,18.891
7886849283000,7886868173000,18.89
7886884983000,7886903873000,18.89
7886920683000,7886939573000,18.89
7886956383000,7886975272000,18.889
7886992083000,7887010972000,18.889
7887027782000,7887046671000,18.889
7887063482000,7887082371000,18.889
7887099181000,7887118071000,18.89
7887134881000,7887153770000,18.889
7887170581000,7887189470000,18.889
7887206281000,7887225169000,18.888
7887241980000,7887260869000,18.889
7887277680000,7887296568000,18.888
7887313380000,7887332268000,18.888
7887349080000,7887367968000,18.888
7887384780000,7887403667000,18.887
7887420479000,7887439367000,18.888
7887456179000,7887475066000,18.887
7887491879000,7887510766000,18.887
7887527578000,7887546466000,18.888
7887563278000,7887582165000,18.887
7887598978000,7887617865000,18.887
7887634678000,7887653564000,18.886
7887670378000,7887689264000,18.886
7887706078000,7887724963000,18.885
7887741777000,7887760663000,18.886
7887777477000,7887796363000,18.886
7887813177000,7887832062000,18.885
7887848877000,7887867762000,18.885
7887884576000,7887903461000,18.885
7887920276000,7887939161000,18.885
7887955976000,7887974860000,18.884
7887991676000,7888010560000,18.884
7888027376000,7888046260000,18.884
7888063075000,7888081959000,18.884
7888098775000,7888117659000,18.884
7888134475000,7888153358000,18.883
7888170175000,7888189058000,18.883
7888205874000,7888224758000,18.884
7888241574000,7888260457000,18.883
7888277274000,7888296157000,18.883
7888312974000,7888331856000,18.882
7888348674000,7888367556000,18.882
7888384373000,7888403256000,18.883
7888420073000,7888438955000,18.882
7888455773000,7888474655000,18.882
7888491472000,7888510354000,18.882
7888527172000,7888546054000,18.882
7888562872000,7888581753000,18.881
7888598572000,7888617453000,18.881
7888634271000,7888653152000,18.881
7888669971000,7888688852000,18.881
7888705671000,7888724553000,18.882
7888741371000,7888760251000,18.88
7888777071000,7888795951000,18.88
7888812770000,7888831650000,18.88
7888848470000,7888867350000,18.88
7888884170000,7888903050000,18.88
7888919870000,7888938749000,18.879
7888955569000,7888974449000,18.88
7888991269000,7889010148000,18.879
7889026969000,7889045848000,18.879
7889062669000,7889081548000,18.879
7889098369000,7889117247000,18.878
7889134068000,7889152947000,18.879
7889169768000,7889188646000,18.878
7889205468000,7889224346000,18.878
7889241168000,7889260047000,18.879
7889276868000,7889295745000,18.877
7889312568000,7889331445000,18.877
7889348267000,7889367144000,18.877
7889383967000,7889402844000,18.877
7889419667000,7889438545000,18.878
7889455367000,7889474243000,18.876
7889491066000,7889509943000,18.877
7889526766000,7889545642000,18.876
7889562466000,7889581342000,18.876
7889598166000,7889617041000,18.875
7889633865000,7889652741000,18.876
7889669565000,7889688440000,18.875
7889705265000,7889724140000,18.875
7889740965000,7889759839000,18.874
7889776664000,7889795541000,18.877
7889812364000,7889831239000,18.875
7889848065000,7889866938000,18.873
7889883764000,7889902638000,18.874
7889919463000,7889938338000,18.875
7889955163000,7889974037000,18.874
7889990863000,7890009737000,18.874
7890026563000,7890045436000,18.873
7890062263000,7890081136000,18.873
7890097962000,7890116835000,18.873
7890133662000,7890152535000,18.873
7890169362000,7890188234000,18.872
7890205062000,7890223934000,18.872
7890240761000,7890259634000,18.873
7890276461000,7890295333000,18.872
7890312162000,7890331033000,18.871
7890347861000,7890366732000,18.871
7890383560000,7890402432000,18.872
7890419260000,7890438131000,18.871
7890454960000,7890473831000,18.871
7890490660000,7890509531000,18.871
7890526360000,7890545230000,18.87
7890562059000,7890580930000,18.871
7890597759000,7890616629000,18.87
7890633459000,7890652329000,18.87
7890669158000,7890688029000,18.871
7890704858000,7890723728000,18.87
7890740558000,7890759428000,18.87
7890776258000,7890795127000,18.869
7890811958000,7890830827000,18.869
7890847658000,7890866527000,18.869
7890883357000,7890902226000,18.869
7890919057000,7890937926000,18.869
7890954757000,7890973625000,18.868
7890990456000,7891009325000,18.869
7891026156000,7891045024000,18.868
7891061856000,7891080724000,18.868
7891097556000,7891116424000,18.868
7891133256000,7891152123000,18.867
7891168955000,7891187823000,18.868
7891204655000,7891223523000,18.868
7891240355000,7891259222000,18.867
7891276055000,7891294921000,18.866
7891311755000,7891330621000,18.866
7891347454000,7891366321000,18.867
7891383154000,7891402020000,18.866
7891418854000,7891437720000,18.866
7891454554000,7891473420000,18.866
7891490253000,7891509119000,18.866
7891525953000,7891544819000,18.866
7891561653000,7891580518000,18.865
7891597353000,7891616218000,18.865
7891633053000,7891651917000,18.864
7891668752000,7891687617000,18.865
7891704452000,7891723316000,18.864
7891740152000,7891759016000,18.864
7891775852000,7891794716000,18.864
7891811551000,7891830415000,18.864
7891847251000,7891866115000,18.864
7891882951000,7891901814000,18.863
7891918651000,7891937514000,18.863
7891954351000,7891973214000,18.863
7891990050000,7892008913000,18.863
7892025750000,7892044613000,18.863
7892061450000,7892080313000,18.863
7892097149000,7892116012000,18.863
7892132849000,7892151711000,18.862
7892168549000,7892187411000,18.862
7892204249000,7892223111000,18.862
7892239949000,7892258810000,18.861
7892275648000,7892294510000,18.862
7892311348000,7892330209000,18.861
7892347048000,7892365909000,18.861
7892382748000,7892401609000,18.861
7892418448000,7892437308000,18.86
7892454147000,7892473008000,18.861
7892489847000,7892508707000,18.86
7892525547000,7892544408000,18.861
7892561247000,7892580108000,18.861
7892596946000,7892615806000,18.86
7892632646000,7892651506000,18.86
7892668346000,7892687205000,18.859
7892704047000,7892722905000,18.858
7892739745000,7892758604000,18.859
7892775445000,7892794304000,18.859
7892811145000,7892830004000,18.859
7892846845000,7892865703000,18.858
7892882544000,7892901403000,18.859
7892918244000,7892937102000,18.858
7892953944000,7892972802000,18.858
7892989644000,7893008502000,18.858
7893025343000,7893044201000,18.858
7893061043000,7893079901000,18.858
7893096743000,7893115600000,18.857
7893132443000,7893151300000,18.857
7893168143000,7893186999000,18.856
7893203842000,7893222699000,18.857
7893239542000,7893258399000,18.857
7893275242000,7893294098000,18.856
7893310942000,7893329798000,18.856
7893346642000,7893365497000,18.855
7893382341000,7893401197000,18.856
7893418041000,7893436897000,18.856
7893453741000,7893472596000,18.855
7893489441000,7893508296000,18.855
7893525140000,7893543995000,18.855
7893560840000,7893579695000,18.855
7893596540000,7893615394000,18.854
7893632240000,7893651094000,18.854
7893667939000,7893686794000,18.855
7893703639000,7893722493000,18.854
