frame,cap,rect,detect,depth,det,mode,track,n_tracks,n_dets,total,fps
3605,14,5,17,0,N,none,0,0,0,36,27.6
3606,14,5,16,0,N,none,0,0,0,34,29.1
3607,14,5,16,0,N,none,0,0,0,35,28.5
3608,14,5,16,0,N,none,0,0,0,35,28.7
3609,15,5,16,0,N,none,0,0,0,36,27.4
3610,13,5,16,0,N,none,0,0,0,34,29.2
3611,14,5,16,0,N,none,0,0,0,35,28.4
3612,14,5,16,0,N,none,0,0,0,35,28.6
3613,15,5,16,0,N,none,0,0,0,36,28.1
3614,15,5,16,0,N,none,0,0,0,35,28.2
3615,14,5,16,0,N,none,0,0,0,36,28.0
3616,14,6,16,0,N,none,0,0,0,35,28.4
3617,14,6,17,0,N,none,0,0,0,37,27.1
3618,13,6,17,0,N,none,0,0,0,37,27.3
3619,11,5,17,0,N,none,0,0,0,33,30.3
3620,13,5,17,0,N,none,0,0,0,35,28.4
3621,13,5,16,0,N,none,0,0,0,34,29.8
3622,14,5,17,0,N,none,0,0,0,36,28.1
3623,14,5,16,0,N,none,0,0,0,35,28.7
3624,15,5,16,0,N,none,0,0,0,36,27.6
3625,14,5,18,0,N,none,0,0,0,37,26.9
3626,12,5,17,0,N,none,0,0,0,34,29.7
3627,14,5,16,0,N,none,0,0,0,35,28.9
3628,14,5,16,0,N,none,0,0,0,35,28.3
3629,14,5,16,0,N,none,0,0,0,35,28.6
3630,14,5,16,0,N,none,0,0,0,35,28.3
3631,14,5,16,0,N,none,0,0,0,35,28.2
3632,15,5,16,0,N,none,0,0,0,36,28.1
3633,14,5,16,0,N,none,0,0,0,35,28.3
3634,14,6,16,0,N,none,0,0,0,36,27.6
3635,9,5,16,0,N,none,0,0,0,29,34.3
3636,14,5,16,0,N,none,0,0,0,34,29.0
3637,15,5,17,0,N,none,0,0,0,36,27.7
3638,14,5,16,0,N,none,0,0,0,35,28.4
3639,14,5,16,0,N,none,0,0,0,35,28.4
3640,14,5,16,0,N,none,0,0,0,35,28.5
3641,14,5,17,0,N,none,0,0,0,36,27.6
3642,13,5,16,0,N,none,0,0,0,34,29.4
3643,14,5,16,0,N,none,0,0,0,35,28.2
3644,14,5,16,0,N,none,0,0,0,35,28.8
3645,14,5,16,0,N,none,0,0,0,36,28.1
3646,14,5,18,0,N,none,0,0,0,36,27.4
3647,12,5,16,0,N,none,0,0,0,33,30.3
3648,14,5,16,0,N,none,0,0,0,35,28.7
3649,14,5,17,0,N,none,0,0,0,37,27.1
3650,13,5,16,0,N,none,0,0,0,34,29.7
3651,14,5,16,0,N,none,0,0,0,35,28.2
3652,15,5,17,0,N,none,0,0,0,36,27.5
3653,13,5,17,0,N,none,0,0,0,35,28.9
3654,13,5,16,0,N,none,0,0,0,35,29.0
3655,15,5,16,0,N,none,0,0,0,36,27.5
3656,13,5,16,0,N,none,0,0,0,34,29.3
3657,14,6,16,0,N,none,0,0,0,36,27.9
3658,14,5,17,0,N,none,0,0,0,36,27.7
3659,13,5,16,0,N,none,0,0,0,34,29.8
3660,14,5,16,0,N,none,0,0,0,35,28.4
3661,14,5,17,0,N,none,0,0,0,35,28.2
3662,14,6,17,0,N,none,0,0,0,37,27.2
3663,12,6,17,0,N,none,0,0,0,35,28.5
3664,12,6,17,0,N,none,0,0,0,35,28.3
3665,12,7,17,0,N,none,0,0,0,35,28.3
3666,11,5,16,0,N,none,0,0,0,32,31.3
3667,14,5,17,0,N,none,0,0,0,36,28.1
3668,13,5,16,0,N,none,0,0,0,34,29.8
3669,15,4,16,0,N,none,0,0,0,35,28.3
3670,15,5,16,0,N,none,0,0,0,35,28.3
3671,15,5,16,0,N,none,0,0,0,35,28.7
3672,16,5,16,0,N,none,0,0,0,37,27.1
3673,14,6,17,0,N,none,0,0,0,36,27.6
3674,12,5,16,0,N,none,0,0,0,33,29.9
3675,15,5,16,0,N,none,0,0,0,36,27.6
3676,13,5,17,0,N,none,0,0,0,35,28.5
3677,13,5,16,0,N,none,0,0,0,34,29.6
3678,14,5,16,0,N,none,0,0,0,35,28.7
3679,15,5,17,0,N,none,0,0,0,37,27.3
3680,13,7,17,0,N,none,0,0,0,36,27.6
3681,12,6,16,0,N,none,0,0,0,35,29.0
3682,13,5,16,0,N,none,0,0,0,34,29.6
3683,14,5,16,0,N,none,0,0,0,35,28.9
3684,15,5,16,0,N,none,0,0,0,36,27.5
3685,14,5,16,0,N,none,0,0,0,35,28.6
3686,13,5,17,0,N,none,0,0,0,35,28.9
3687,13,5,16,0,N,none,0,0,0,34,29.2
3688,15,5,16,0,N,none,0,0,0,36,28.0
3689,15,6,16,0,N,none,0,0,0,37,27.0
3690,12,5,16,0,N,none,0,0,0,33,30.0
3691,16,5,16,0,N,none,0,0,0,37,27.3
3692,12,5,16,0,N,none,0,0,0,33,30.3
3693,15,5,16,0,N,none,0,0,0,36,27.9
3694,14,5,16,0,N,none,0,0,0,34,29.1
3695,15,5,16,0,N,none,0,0,0,36,27.7
3696,15,5,16,0,N,none,0,0,0,36,27.8
3697,13,5,16,0,N,none,0,0,0,34,29.2
3698,14,5,16,0,N,none,0,0,0,35,28.8
3699,14,5,16,0,N,none,0,0,0,35,28.3
3700,14,5,16,0,N,none,0,0,0,35,28.5
3701,14,5,16,0,N,none,0,0,0,35,28.3
3702,14,5,17,0,N,none,0,0,0,36,28.0
3703,14,5,16,0,N,none,0,0,0,34,29.1
3704,13,5,16,0,N,none,0,0,0,34,29.3
3705,15,5,17,0,N,none,0,0,0,37,27.2
3706,13,5,16,0,N,none,0,0,0,34,29.6
3707,14,5,16,0,N,none,0,0,0,35,28.5
3708,15,5,16,0,N,none,0,0,0,35,28.2
3709,14,5,16,0,N,none,0,0,0,35,28.3
3710,14,6,17,0,N,none,0,0,0,37,27.0
3711,13,6,18,0,N,none,0,0,0,36,27.5
3712,11,6,17,0,N,none,0,0,0,34,29.1
3713,12,6,18,0,N,none,0,0,0,36,27.5
3714,11,7,16,0,N,none,0,0,0,34,29.8
3715,12,5,16,0,N,none,0,0,0,32,30.8
3716,15,5,16,0,N,none,0,0,0,36,27.7
3717,14,5,16,0,N,none,0,0,0,35,28.5
3718,14,5,16,0,N,none,0,0,0,35,28.4
3719,14,5,16,0,N,none,0,0,0,36,28.1
3720,15,6,17,0,N,none,0,0,0,38,26.6
3721,12,6,17,0,N,none,0,0,0,35,29.0
3722,12,5,16,0,N,none,0,0,0,33,30.2
3723,14,6,16,0,N,none,0,0,0,37,27.4
3724,15,6,16,0,N,none,0,0,0,37,27.2
3725,11,5,16,0,N,none,0,0,0,32,31.4
3726,17,5,16,0,N,none,0,0,0,37,26.7
3727,12,5,16,0,N,none,0,0,0,33,29.9
3728,14,5,16,0,N,none,0,0,0,35,28.8
3729,15,5,16,0,N,none,0,0,0,36,28.1
3730,14,5,16,0,N,none,0,0,0,35,28.4
3731,15,5,16,0,N,none,0,0,0,35,28.2
3732,14,5,16,0,N,none,0,0,0,36,27.9
3733,13,5,16,0,N,none,0,0,0,34,29.1
3734,15,5,16,0,N,none,0,0,0,35,28.2
3735,14,5,16,0,N,none,0,0,0,35,28.6
3736,15,5,16,0,N,none,0,0,0,35,28.2
3737,14,5,16,0,N,none,0,0,0,35,28.5
3738,14,5,16,0,N,none,0,0,0,36,28.1
3739,14,5,16,0,N,none,0,0,0,35,28.5
3740,14,5,16,0,N,none,0,0,0,35,28.7
3741,15,5,16,0,N,none,0,0,0,36,27.7
3742,14,5,16,0,N,none,0,0,0,35,28.9
3743,14,5,16,0,N,none,0,0,0,36,28.1
3744,14,5,16,0,N,none,0,0,0,35,28.6
3745,14,5,16,0,N,none,0,0,0,35,28.4
3746,14,5,17,0,N,none,0,0,0,36,28.1
3747,14,5,17,0,N,none,0,0,0,37,27.2
3748,13,5,16,0,N,none,0,0,0,34,29.6
3749,14,5,16,0,N,none,0,0,0,35,28.7
3750,14,6,17,0,N,none,0,0,0,37,27.3
3751,12,6,17,0,N,none,0,0,0,35,28.5
3752,12,5,16,0,N,none,0,0,0,33,30.5
3753,14,5,16,0,N,none,0,0,0,35,28.5
3754,14,5,16,0,N,none,0,0,0,35,28.3
3755,14,5,17,0,N,none,0,0,0,35,28.2
3756,13,5,17,0,N,none,0,0,0,35,28.8
3757,14,5,16,0,N,none,0,0,0,35,28.6
3758,14,5,16,0,N,none,0,0,0,35,28.5
3759,14,5,16,0,N,none,0,0,0,35,28.3
3760,14,5,16,0,N,none,0,0,0,35,28.4
3761,13,5,16,0,N,none,0,0,0,34,29.6
3762,14,5,16,0,N,none,0,0,0,35,28.4
3763,14,5,16,0,N,none,0,0,0,35,28.4
3764,14,5,17,0,N,none,0,0,0,37,27.0
3765,14,5,16,0,N,none,0,0,0,35,29.0
3766,13,5,16,0,N,none,0,0,0,34,29.7
3767,15,6,17,0,N,none,0,0,0,38,26.4
3768,12,5,16,0,N,none,0,0,0,33,30.5
3769,14,5,16,32,Y,fresh,2,0,0,69,14.5
3770,0,6,16,0,N,cache,0,0,0,22,45.7
3771,1,5,15,0,N,cache,0,0,0,21,47.9
3772,6,5,15,0,N,cache,0,0,0,26,38.7
3773,16,5,15,0,N,cache,0,0,0,36,28.1
3774,15,4,14,0,N,cache,0,0,0,33,30.2
3775,17,4,14,0,N,cache,0,0,0,36,27.9
3776,18,4,14,0,N,cache,0,0,0,36,27.7
3777,16,4,15,0,N,cache,0,0,0,35,28.9
3778,16,4,15,0,N,cache,0,0,0,35,28.5
3779,17,4,15,0,N,cache,0,0,0,35,28.2
3780,16,4,15,0,N,cache,0,0,0,35,28.9
3781,17,4,14,0,N,cache,0,0,0,35,28.5
3782,17,4,15,0,N,cache,0,0,0,36,28.0
3783,17,4,14,0,N,cache,0,0,0,35,28.6
3784,18,4,15,0,N,cache,0,0,0,37,27.3
3785,15,4,15,0,N,cache,0,0,0,33,30.0
3786,17,4,15,0,N,cache,0,0,0,36,28.0
3787,16,4,14,0,N,cache,0,0,0,35,28.9
3788,18,4,15,0,N,cache,0,0,0,37,27.3
3789,16,4,14,0,N,cache,0,0,0,34,29.6
3790,17,4,14,0,N,cache,0,0,0,35,28.5
3791,17,4,14,0,N,cache,0,0,0,35,28.3
3792,17,4,14,0,N,cache,0,0,0,35,28.6
3793,17,4,14,0,N,cache,0,0,0,36,28.0
3794,18,4,15,0,N,cache,0,0,0,36,27.6
3795,16,4,14,0,N,cache,0,0,0,34,29.5
3796,18,4,14,0,N,cache,0,0,0,36,28.0
3797,17,4,14,0,N,cache,0,0,0,35,28.6
3798,17,4,15,0,N,none,0,0,0,35,28.7
3799,17,4,15,0,N,none,0,0,0,36,27.9
3800,16,4,14,0,N,none,0,0,0,35,28.9
3801,18,4,14,0,N,none,0,0,0,36,27.6
3802,17,4,15,0,N,none,0,0,0,36,28.0
3803,15,4,15,0,N,none,0,0,0,34,29.4
3804,16,4,14,0,N,none,0,0,0,35,29.0
3805,17,4,15,0,N,none,0,0,0,36,28.0
3806,17,4,14,0,N,none,0,0,0,35,28.2
3807,16,4,14,0,N,none,0,0,0,34,29.2
3808,18,4,14,0,N,none,0,0,0,36,27.9
3809,17,4,14,0,N,none,0,0,0,35,28.6
3810,18,4,15,0,N,none,0,0,0,38,26.6
3811,15,5,15,0,N,none,0,0,0,34,29.1
3812,15,4,15,0,N,none,0,0,0,34,29.6
3813,17,4,14,0,N,none,0,0,0,35,28.6
3814,17,4,15,0,N,none,0,0,0,36,28.1
3815,17,4,15,0,N,none,0,0,0,36,28.1
3816,16,4,15,0,N,none,0,0,0,35,28.9
3817,17,4,14,0,N,none,0,0,0,35,28.3
3818,16,4,15,0,N,none,0,0,0,34,29.2
3819,16,4,14,0,N,none,0,0,0,35,28.9
3820,17,4,14,0,N,none,0,0,0,35,28.2
3821,18,4,14,0,N,none,0,0,0,36,27.6
3822,16,4,14,0,N,none,0,0,0,34,29.2
3823,17,4,14,0,N,none,0,0,0,35,28.2
3824,17,4,14,0,N,none,0,0,0,35,28.5
3825,17,4,14,0,N,none,0,0,0,35,28.2
3826,17,4,14,0,N,none,0,0,0,35,28.3
3827,17,4,14,0,N,none,0,0,0,35,28.4
3828,17,4,14,0,N,none,0,0,0,35,28.4
3829,17,4,14,0,N,none,0,0,0,36,28.1
3830,17,4,14,0,N,none,0,0,0,35,28.5
3831,17,4,14,0,N,none,0,0,0,35,28.5
3832,18,4,14,0,N,none,0,0,0,36,28.0
3833,17,4,14,0,N,none,0,0,0,35,28.6
3834,17,4,15,0,N,none,0,0,0,35,28.2
3835,17,4,14,0,N,none,0,0,0,35,28.5
3836,17,4,14,0,N,none,0,0,0,36,28.1
3837,18,4,14,0,N,none,0,0,0,36,27.8
3838,16,5,14,0,N,none,0,0,0,35,28.5
3839,16,4,14,0,N,none,0,0,0,35,28.9
3840,17,4,14,0,N,none,0,0,0,35,28.6
3841,18,4,14,0,N,none,0,0,0,36,27.8
3842,17,5,15,0,N,none,0,0,0,36,27.8
3843,16,4,15,0,N,none,0,0,0,34,29.4
3844,17,4,14,0,N,none,0,0,0,36,28.0
3845,16,4,14,0,N,none,0,0,0,35,29.0
3846,17,4,14,0,N,none,0,0,0,35,28.3
3847,17,4,14,0,N,none,0,0,0,36,28.1
3848,17,4,14,0,N,none,0,0,0,35,28.7
3849,19,4,14,0,N,none,0,0,0,37,27.1
3850,15,4,15,0,N,none,0,0,0,35,28.9
3851,16,4,14,0,N,none,0,0,0,34,29.1
3852,18,4,15,0,N,none,0,0,0,36,27.8
3853,16,4,15,0,N,none,0,0,0,35,28.2
3854,16,4,14,0,N,none,0,0,0,34,29.1
3855,17,4,14,0,N,none,0,0,0,36,28.1
3856,17,4,14,0,N,none,0,0,0,35,28.5
3857,17,4,14,0,N,none,0,0,0,35,28.5
3858,17,4,15,0,N,none,0,0,0,36,27.8
3859,16,4,14,0,N,none,0,0,0,34,29.1
3860,17,4,14,0,N,none,0,0,0,35,28.3
3861,17,4,14,0,N,none,0,0,0,35,28.2
3862,18,4,14,0,N,none,0,0,0,36,27.7
3863,16,4,18,0,N,none,0,0,0,38,26.0
3864,14,4,15,0,N,none,0,0,0,33,30.7
3865,16,4,15,0,N,none,0,0,0,34,29.1
3866,17,4,15,0,N,none,0,0,0,36,28.0
3867,16,4,15,0,N,none,0,0,0,35,28.7
3868,17,5,15,0,N,none,0,0,0,36,27.9
3869,16,4,14,0,N,none,0,0,0,34,29.4
3870,17,4,15,0,N,none,0,0,0,36,27.7
3871,16,4,15,0,N,none,0,0,0,35,28.8
3872,17,4,14,0,N,none,0,0,0,35,28.3
3873,17,4,14,0,N,none,0,0,0,35,28.5
3874,17,5,15,0,N,none,0,0,0,37,27.4
3875,15,4,14,0,N,none,0,0,0,33,30.2
3876,17,4,14,0,N,none,0,0,0,35,28.5
3877,17,4,15,0,N,none,0,0,0,36,28.0
3878,17,4,14,0,N,none,0,0,0,35,28.8
3879,17,4,15,0,N,none,0,0,0,36,27.5
3880,16,4,15,0,N,none,0,0,0,35,29.0
3881,17,4,15,0,N,none,0,0,0,35,28.3
3882,18,4,15,0,N,none,0,0,0,36,27.5
3883,15,4,14,0,N,none,0,0,0,34,29.7
3884,17,4,14,0,N,none,0,0,0,35,28.4
3885,18,4,15,0,N,none,0,0,0,36,27.7
3886,16,4,15,0,N,none,0,0,0,35,28.5
3887,17,4,15,0,N,none,0,0,0,35,28.7
3888,17,5,14,0,N,none,0,0,0,37,27.3
3889,16,4,14,0,N,none,0,0,0,34,29.1
3890,16,5,14,0,N,none,0,0,0,36,28.1
3891,17,4,15,0,N,none,0,0,0,35,28.4
3892,17,4,14,0,N,none,0,0,0,35,28.6
3893,17,4,14,0,N,none,0,0,0,35,28.5
3894,17,4,14,0,N,none,0,0,0,35,28.3
3895,17,4,15,0,N,none,0,0,0,36,27.8
3896,16,4,14,0,N,none,0,0,0,34,29.0
3897,19,4,14,0,N,none,0,0,0,37,27.1
3898,16,4,15,0,N,none,0,0,0,35,28.4
3899,16,5,15,0,N,none,0,0,0,36,27.9
3900,15,5,15,0,N,none,0,0,0,35,28.7
3901,16,5,15,0,N,none,0,0,0,35,28.3
3902,16,5,15,0,N,none,0,0,0,35,28.3
3903,15,4,15,0,N,none,0,0,0,33,30.0
3904,17,4,15,0,N,none,0,0,0,36,27.9
3905,16,4,15,0,N,none,0,0,0,35,28.3
3906,16,4,16,0,N,none,0,0,0,35,28.2
3907,17,4,15,0,N,none,0,0,0,35,28.6
3908,16,4,15,0,N,none,0,0,0,35,28.4
3909,17,4,14,0,N,none,0,0,0,35,28.6
3910,18,4,14,0,N,none,0,0,0,36,27.8
3911,18,5,18,0,N,none,0,0,0,40,24.7
3912,13,5,16,0,N,none,0,0,0,35,28.9
3913,14,5,16,0,N,none,0,0,0,35,28.4
3914,13,5,17,0,N,none,0,0,0,35,28.5
3915,13,5,16,0,N,none,0,0,0,33,30.1
3916,16,5,16,0,N,none,0,0,0,36,27.7
3917,14,5,17,0,N,none,0,0,0,35,28.3
3918,14,5,16,0,N,none,0,0,0,35,28.8
3919,14,5,17,0,N,none,0,0,0,36,27.7
3920,13,6,17,0,N,none,0,0,0,36,27.5
3921,12,6,17,0,N,none,0,0,0,35,28.7
3922,12,5,16,0,N,none,0,0,0,33,30.5
3923,14,4,16,0,N,none,0,0,0,35,28.8
3924,15,4,16,0,N,none,0,0,0,35,28.4
3925,15,5,16,0,N,none,0,0,0,36,27.6
3926,17,5,16,0,N,none,0,0,0,38,26.3
3927,12,5,16,0,N,none,0,0,0,33,30.8
3928,14,5,16,0,N,none,0,0,0,34,29.1
3929,15,5,16,0,N,none,0,0,0,35,28.2
3930,14,5,16,0,N,none,0,0,0,35,28.4
3931,13,5,16,0,N,none,0,0,0,34,29.6
3932,15,5,16,0,N,none,0,0,0,36,27.9
3933,15,5,16,0,N,none,0,0,0,35,28.3
3934,15,5,16,0,N,none,0,0,0,35,28.3
3935,14,5,16,0,N,none,0,0,0,35,28.3
3936,14,5,16,0,N,none,0,0,0,35,28.3
3937,14,5,16,0,N,none,0,0,0,35,28.5
3938,14,5,17,0,N,none,0,0,0,36,28.1
3939,14,5,17,0,N,none,0,0,0,35,28.4
3940,14,5,16,0,N,none,0,0,0,35,28.5
3941,13,5,16,0,N,none,0,0,0,34,29.4
3942,15,5,17,0,N,none,0,0,0,37,27.2
3943,13,5,16,0,N,none,0,0,0,35,28.7
3944,13,5,16,0,N,none,0,0,0,34,29.7
3945,15,5,16,0,N,none,0,0,0,36,27.6
3946,15,5,17,0,N,none,0,0,0,36,27.5
3947,13,5,16,0,N,none,0,0,0,34,29.8
3948,15,5,16,0,N,none,0,0,0,36,27.9
3949,13,5,16,0,N,none,0,0,0,34,29.3
3950,14,5,16,0,N,none,0,0,0,35,28.6
3951,15,5,16,0,N,none,0,0,0,36,28.1
3952,15,5,17,0,N,none,0,0,0,36,27.5
3953,13,5,16,0,N,none,0,0,0,34,29.7
3954,14,5,17,0,N,none,0,0,0,36,27.5
3955,13,5,16,0,N,none,0,0,0,34,29.1
3956,14,5,16,0,N,none,0,0,0,35,28.8
3957,14,5,17,0,N,none,0,0,0,36,27.9
3958,13,5,16,0,N,none,0,0,0,34,29.3
3959,14,5,16,0,N,none,0,0,0,34,29.1
3960,15,5,16,0,N,none,0,0,0,35,28.5
3961,15,5,16,0,N,none,0,0,0,35,28.3
3962,15,5,16,0,N,none,0,0,0,36,27.5
3963,14,5,16,0,N,none,0,0,0,35,28.6
3964,15,5,16,0,N,none,0,0,0,36,28.0
3965,14,5,16,0,N,none,0,0,0,35,28.7
3966,14,5,16,0,N,none,0,0,0,35,28.7
3967,16,5,16,0,N,none,0,0,0,36,27.5
3968,13,5,17,0,N,none,0,0,0,35,28.9
3969,14,5,16,0,N,none,0,0,0,34,29.1
3970,14,5,16,0,N,none,0,0,0,36,27.8
3971,14,6,17,0,N,none,0,0,0,37,27.3
3972,12,6,17,0,N,none,0,0,0,35,28.4
3973,13,5,16,0,N,none,0,0,0,34,29.4
3974,13,5,16,0,N,none,0,0,0,34,29.8
3975,15,5,16,0,N,none,0,0,0,35,28.3
3976,17,5,16,0,N,none,0,0,0,38,26.1
3977,12,6,17,0,N,none,0,0,0,34,29.0
3978,13,7,17,0,N,none,0,0,0,36,27.8
3979,12,6,16,0,N,none,0,0,0,34,29.3
3980,13,5,16,0,N,none,0,0,0,34,29.7
3981,14,5,16,0,N,none,0,0,0,35,28.7
3982,15,5,16,0,N,none,0,0,0,36,27.8
3983,14,6,16,0,N,none,0,0,0,37,27.2
3984,12,5,16,0,N,none,0,0,0,33,30.1
3985,14,5,16,0,N,none,0,0,0,35,28.4
3986,15,5,16,0,N,none,0,0,0,36,27.7
3987,12,5,16,0,N,none,0,0,0,32,30.8
3988,14,5,16,0,N,none,0,0,0,35,29.0
3989,15,5,16,0,N,none,0,0,0,35,28.5
3990,15,5,16,0,N,none,0,0,0,36,27.4
3991,14,5,16,0,N,none,0,0,0,35,28.9
3992,14,5,17,0,N,none,0,0,0,36,27.6
3993,14,5,16,0,N,none,0,0,0,35,28.9
3994,14,5,16,0,N,none,0,0,0,35,28.5
3995,14,5,16,0,N,none,0,0,0,35,28.2
3996,14,5,16,0,N,none,0,0,0,35,28.6
3997,14,5,16,0,N,none,0,0,0,35,28.5
3998,14,6,17,0,N,none,0,0,0,37,26.8
3999,12,5,17,0,N,none,0,0,0,34,29.4
4000,14,6,17,0,N,none,0,0,0,36,27.5
4001,13,7,17,0,N,none,0,0,0,37,27.1
4002,11,7,18,0,N,none,0,0,0,35,28.3
4003,11,6,17,0,N,none,0,0,0,35,28.8
4004,11,5,16,0,N,none,0,0,0,32,31.7
4005,15,5,17,0,N,none,0,0,0,36,27.6
4006,14,5,16,0,N,none,0,0,0,34,29.5
4007,15,5,17,0,N,none,0,0,0,37,26.7
4008,13,5,16,0,N,none,0,0,0,34,29.2
4009,14,5,16,0,N,none,0,0,0,34,29.0
4010,15,5,16,0,N,none,0,0,0,36,28.1
4011,14,5,16,0,N,none,0,0,0,35,28.6
4012,14,5,16,0,N,none,0,0,0,35,28.6
4013,15,5,16,0,N,none,0,0,0,36,28.1
4014,14,5,17,0,N,none,0,0,0,36,28.1
4015,14,5,16,0,N,none,0,0,0,35,28.5
4016,14,5,16,0,N,none,0,0,0,35,28.7
4017,14,6,17,0,N,none,0,0,0,37,27.0
4018,12,6,16,0,N,none,0,0,0,34,29.1
4019,13,5,16,0,N,none,0,0,0,35,28.9
4020,14,5,16,0,N,none,0,0,0,35,28.4
4021,14,5,16,0,N,none,0,0,0,35,28.3
4022,14,5,16,0,N,none,0,0,0,35,28.7
4023,14,5,16,0,N,none,0,0,0,35,28.2
4024,14,5,16,0,N,none,0,0,0,35,28.5
4025,14,5,16,0,N,none,0,0,0,35,28.3
4026,14,5,16,0,N,none,0,0,0,35,28.8
4027,15,5,16,0,N,none,0,0,0,36,27.7
4028,14,5,16,0,N,none,0,0,0,35,29.0
4029,14,5,16,0,N,none,0,0,0,35,28.5
4030,14,5,16,0,N,none,0,0,0,35,28.3
4031,14,5,16,0,N,none,0,0,0,35,28.2
4032,15,5,16,0,N,none,0,0,0,35,28.2
4033,14,5,16,0,N,none,0,0,0,35,28.6
4034,16,5,16,0,N,none,0,0,0,37,27.2
4035,13,5,16,0,N,none,0,0,0,33,29.9
4036,14,5,16,0,N,none,0,0,0,35,28.5
4037,14,6,16,0,N,none,0,0,0,36,27.4
4038,12,5,16,0,N,none,0,0,0,33,30.1
4039,15,5,17,0,N,none,0,0,0,36,27.5
4040,13,5,16,0,N,none,0,0,0,34,29.6
4041,14,5,16,0,N,none,0,0,0,35,28.4
4042,15,7,17,0,N,none,0,0,0,38,26.2
4043,10,6,17,0,N,none,0,0,0,33,30.4
4044,12,6,17,0,N,none,0,0,0,36,27.8
4045,11,6,16,0,N,none,0,0,0,33,30.0
4046,13,6,16,0,N,none,0,0,0,35,29.0
4047,13,5,16,0,N,none,0,0,0,34,29.2
4048,14,6,17,0,N,none,0,0,0,37,26.9
4049,13,6,17,0,N,none,0,0,0,36,28.0
4050,12,6,17,0,N,none,0,0,0,35,28.7
4051,13,7,17,0,N,none,0,0,0,36,27.5
4052,11,6,16,0,N,none,0,0,0,33,30.1
4053,13,6,16,0,N,none,0,0,0,35,28.9
4054,13,6,16,0,N,none,0,0,0,35,29.0
4055,14,5,16,0,N,none,0,0,0,34,29.2
4056,14,5,16,0,N,none,0,0,0,35,28.7
4057,15,5,16,0,N,none,0,0,0,36,27.5
4058,14,5,16,0,N,none,0,0,0,34,29.0
4059,15,5,16,0,N,none,0,0,0,35,28.5
4060,15,5,16,0,N,none,0,0,0,35,28.2
4061,15,5,17,0,N,none,0,0,0,36,27.6
4062,13,5,16,0,N,none,0,0,0,34,29.2
4063,14,5,17,0,N,none,0,0,0,36,27.7
4064,13,5,16,0,N,none,0,0,0,34,29.2
4065,14,5,16,0,N,none,0,0,0,35,28.4
4066,16,5,16,0,N,none,0,0,0,36,27.6
4067,13,5,16,0,N,none,0,0,0,33,29.9
4068,15,5,16,0,N,none,0,0,0,35,28.3
4069,15,6,16,0,N,none,0,0,0,37,27.1
4070,14,5,16,0,N,none,0,0,0,35,28.6
4071,14,5,16,0,N,none,0,0,0,34,29.0
4072,15,5,16,0,N,none,0,0,0,36,27.6
4073,14,5,16,0,N,none,0,0,0,35,28.8
4074,14,5,16,0,N,none,0,0,0,35,28.4
4075,14,5,16,0,N,none,0,0,0,35,28.3
4076,14,5,16,0,N,none,0,0,0,35,28.9
4077,14,5,16,0,N,none,0,0,0,36,28.2
4078,14,5,16,0,N,none,0,0,0,35,28.7
4079,14,5,16,0,N,none,0,0,0,36,28.0
4080,14,5,16,0,N,none,0,0,0,35,28.7
4081,15,5,16,0,N,none,0,0,0,36,27.7
4082,13,5,16,0,N,none,0,0,0,35,28.9
4083,14,5,16,0,N,none,0,0,0,35,28.5
4084,15,5,16,0,N,none,0,0,0,36,27.8
4085,13,5,16,0,N,none,0,0,0,34,29.1
4086,14,5,16,0,N,none,0,0,0,35,28.5
4087,15,5,16,0,N,none,0,0,0,36,27.9
4088,14,5,16,0,N,none,0,0,0,35,28.9
4089,14,5,16,0,N,none,0,0,0,35,28.2
4090,14,5,17,0,N,none,0,0,0,36,27.9
4091,13,5,16,0,N,none,0,0,0,34,29.2
4092,14,6,17,0,N,none,0,0,0,37,27.0
4093,12,6,17,0,N,none,0,0,0,35,28.2
4094,12,6,17,0,N,none,0,0,0,35,28.3
4095,12,5,16,0,N,none,4,0,0,38,26.6
4096,10,6,17,0,N,none,0,0,0,34,29.7
4097,11,5,16,0,N,none,0,0,0,32,30.9
4098,14,5,30,0,N,none,0,0,0,49,20.3
4099,2,5,17,0,N,none,0,0,0,24,42.3
4100,10,5,16,0,N,none,0,0,0,31,32.5
4101,14,5,16,0,N,none,0,0,0,35,28.5
4102,14,6,16,0,N,none,0,0,0,37,27.4
4103,14,6,16,0,N,none,0,0,0,36,27.4
4104,12,6,17,0,N,none,0,0,0,34,29.1
4105,13,5,17,0,N,none,0,0,0,34,29.0
4106,14,5,16,0,N,none,0,0,0,35,28.6
4107,14,5,16,0,N,none,0,0,0,34,29.1
4108,14,5,16,0,N,none,0,0,0,35,28.8
4109,15,5,16,0,N,none,0,0,0,36,27.9
4110,14,5,16,0,N,none,0,0,0,35,28.3
4111,14,5,17,0,N,none,0,0,0,36,28.0
4112,14,5,16,0,N,none,0,0,0,35,28.4
4113,14,5,16,0,N,none,0,0,0,35,28.7
4114,14,5,18,0,N,none,0,0,0,36,27.6
4115,13,5,16,0,N,none,0,0,0,33,29.9
4116,14,5,16,0,N,none,0,0,0,35,28.3
4117,14,5,16,0,N,none,0,0,0,36,28.1
4118,14,5,16,0,N,none,0,0,0,35,28.3
4119,14,5,17,0,N,none,0,0,0,36,28.0
