frame,cap,rect,detect,depth,det,mode,track,n_tracks,n_dets,total,fps
2042,17,4,15,0,N,none,0,0,0,36,28.0
2043,17,4,14,0,N,none,0,0,0,35,28.3
2044,17,4,14,0,N,none,0,0,0,35,28.8
2045,17,4,14,0,N,none,0,0,0,35,28.3
2046,17,4,14,0,N,none,0,0,0,35,28.2
2047,17,4,14,0,N,none,0,0,0,35,28.6
2048,18,4,14,0,N,none,0,0,0,36,27.9
2049,17,4,14,0,N,none,0,0,0,35,28.6
2050,17,4,15,0,N,none,0,0,0,35,28.2
2051,17,4,14,26,Y,fresh,0,0,0,62,16.1
2052,0,4,15,0,N,cache,0,0,0,19,52.6
2053,7,5,15,0,N,cache,0,0,0,27,37.4
2054,15,5,16,0,N,cache,0,0,0,35,28.2
2055,15,5,15,0,N,cache,0,0,0,35,28.6
2056,14,5,15,0,N,cache,0,0,0,34,29.6
2057,16,4,15,0,N,cache,0,0,0,35,28.7
2058,16,5,16,0,N,cache,0,0,0,37,27.0
2059,16,4,15,0,N,cache,0,0,0,34,29.1
2060,17,4,15,0,N,cache,0,0,0,36,28.2
2061,16,4,15,0,N,cache,0,0,0,34,29.4
2062,16,4,15,0,N,cache,0,0,0,35,29.0
2063,16,4,15,0,N,cache,0,0,0,36,27.9
2064,16,4,15,0,N,cache,0,0,0,34,29.0
2065,17,4,14,0,N,cache,0,0,0,35,28.2
2066,17,4,15,0,N,cache,0,0,0,35,28.3
2067,18,5,14,0,N,cache,0,0,0,37,27.3
2068,15,4,14,0,N,cache,0,0,0,34,29.7
2069,17,4,15,0,N,cache,0,0,0,36,28.0
2070,16,4,14,0,N,cache,0,0,0,35,28.3
2071,16,4,14,0,N,cache,0,0,0,35,28.7
2072,17,4,14,0,N,cache,0,0,0,36,28.1
2073,17,5,14,0,N,cache,0,0,0,36,28.0
2074,16,4,15,0,N,cache,0,0,0,35,28.8
2075,17,4,14,0,N,cache,0,0,0,36,27.9
2076,17,4,15,0,N,cache,0,0,0,36,28.1
2077,17,4,14,0,N,cache,0,0,0,35,28.6
2078,17,4,14,0,N,cache,0,0,0,35,28.5
2079,17,4,15,0,N,cache,0,0,0,36,27.8
2080,17,4,14,0,N,none,0,0,0,35,28.6
2081,17,5,14,0,N,none,0,0,0,36,27.8
2082,16,4,15,0,N,none,0,0,0,35,28.8
2083,17,4,15,0,N,none,0,0,0,35,28.3
2084,17,4,14,0,N,none,0,0,0,35,28.2
2085,17,4,14,0,N,none,0,0,0,35,28.4
2086,17,5,14,0,N,none,0,0,0,36,27.8
2087,19,5,17,0,N,none,0,0,0,41,24.6
2088,12,6,17,0,N,none,0,0,0,35,28.8
2089,13,6,17,0,N,none,0,0,0,35,28.3
2090,12,5,17,0,N,none,0,0,0,34,29.4
2091,13,5,17,0,N,none,0,0,0,34,29.2
2092,14,5,17,0,N,none,0,0,0,35,28.4
2093,13,5,16,0,N,none,0,0,0,35,28.6
2094,14,5,17,0,N,none,0,0,0,35,28.5
2095,14,5,17,0,N,none,0,0,0,36,27.9
2096,12,5,16,0,N,none,0,0,0,34,29.6
2097,14,5,16,0,N,none,0,0,0,35,28.3
2098,13,5,16,0,N,none,0,0,0,34,29.0
2099,14,5,16,0,N,none,0,0,0,35,28.5
2100,15,5,16,0,N,none,0,0,0,36,28.1
2101,14,5,17,0,N,none,0,0,0,35,28.4
2102,14,5,16,0,N,none,0,0,0,35,28.6
2103,12,5,17,0,N,none,0,0,0,33,29.9
2104,13,5,16,0,N,none,0,0,0,34,29.8
2105,14,5,16,0,N,none,0,0,0,35,28.6
