iso,store_id,device_id,cpu_temp_c,hailo_temp_c,arm_clock_mhz,throttled_flags,fan_rpm
2026-06-08T01:18:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.051476,2400,917504,3666
2026-06-08T01:23:25-03:00,store-pilot-01,store-pilot-01-cam-01,55.65,35.950302,2400,917504,3667
2026-06-08T01:28:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.354992,2400,917504,3676
2026-06-08T01:33:25-03:00,store-pilot-01,store-pilot-01-cam-01,55.65,36.20323,2400,917504,3673
2026-06-08T01:38:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,36.40558,2400,917504,3678
2026-06-08T01:43:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.051476,2400,917504,3668
2026-06-08T01:48:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.962025,2400,917504,3683
2026-06-08T01:53:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,37.21496,2400,917504,3687
2026-06-08T01:58:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,36.91144,2400,917504,3676
2026-06-08T02:03:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.557335,2400,917504,3680
2026-06-08T02:08:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,36.709095,2400,917504,3679
2026-06-08T02:13:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,36.304405,2400,917504,3679
2026-06-08T02:18:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.709095,2400,917504,3671
2026-06-08T02:23:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,36.456165,2400,917504,3692
2026-06-08T02:28:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,35.747955,2400,917504,3663
2026-06-08T02:33:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,35.34327,2400,917504,3662
2026-06-08T02:38:25-03:00,store-pilot-01,store-pilot-01-cam-01,55.1,35.19151,2400,917504,3671
2026-06-08T02:43:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,35.84913,2400,917504,3667
2026-06-08T02:48:25-03:00,store-pilot-01,store-pilot-01-cam-01,55.65,36.152645,2400,917504,3673
2026-06-08T02:53:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.051476,2400,917504,3671
2026-06-08T02:58:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.456165,2400,917504,3676
2026-06-08T03:03:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.456165,2400,917504,3676
2026-06-08T03:08:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.304405,2400,917504,3677
2026-06-08T03:13:25-03:00,store-pilot-01,store-pilot-01-cam-01,55.1,35.697372,2400,917504,3667
2026-06-08T03:18:25-03:00,store-pilot-01,store-pilot-01-cam-01,55.65,36.25382,2400,917504,3676
2026-06-08T03:23:25-03:00,store-pilot-01,store-pilot-01-cam-01,55.1,35.646786,2400,917504,3665
2026-06-08T03:28:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,36.304405,2400,917504,3673
2026-06-08T03:33:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.25382,2400,917504,3675
2026-06-08T03:38:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.860855,2400,917504,3674
2026-06-08T03:43:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.354992,2400,917504,3677
2026-06-08T03:48:25-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,36.91144,2400,917504,3686
2026-06-08T03:53:26-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,37.16437,2400,917504,3687
2026-06-08T03:58:26-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.75968,2400,917504,3683
2026-06-08T04:00:08-03:00,store-pilot-01,store-pilot-01-cam-01,55.65,36.65851,2400,917504,3688
2026-06-08T04:05:08-03:00,store-pilot-01,store-pilot-01-cam-01,55.65,35.899715,2400,917504,3676
2026-06-08T04:10:08-03:00,store-pilot-01,store-pilot-01-cam-01,55.65,36.051476,2400,917504,3663
2026-06-08T04:15:08-03:00,store-pilot-01,store-pilot-01-cam-01,55.65,35.950302,2400,917504,3671
2026-06-08T04:20:08-03:00,store-pilot-01,store-pilot-01-cam-01,55.65,36.102062,2400,917504,3674
2026-06-08T04:25:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.354992,2400,917504,3667
2026-06-08T04:30:08-03:00,store-pilot-01,store-pilot-01-cam-01,55.65,36.60792,2400,917504,3680
2026-06-08T04:35:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.91144,2400,917504,3682
2026-06-08T04:40:08-03:00,store-pilot-01,store-pilot-01-cam-01,57.3,36.962025,2400,917504,3685
2026-06-08T04:45:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,36.91144,2400,917504,3687
2026-06-08T04:50:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,36.91144,2400,917504,3683
2026-06-08T04:55:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.25382,2400,917504,3684
2026-06-08T05:00:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,36.709095,2400,917504,3680
2026-06-08T05:05:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.557335,2400,917504,3674
2026-06-08T05:10:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.91144,2400,917504,3679
2026-06-08T05:15:08-03:00,store-pilot-01,store-pilot-01-cam-01,55.65,36.81027,2400,917504,3677
2026-06-08T05:20:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.91144,2400,917504,3678
2026-06-08T05:25:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,36.81027,2400,917504,3685
2026-06-08T05:30:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,36.962025,2400,917504,3688
2026-06-08T05:35:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.91144,2400,917504,3682
2026-06-08T05:40:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,36.75968,2400,917504,3683
2026-06-08T05:45:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.81027,2400,917504,3680
2026-06-08T05:50:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.557335,2400,917504,3678
2026-06-08T05:55:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.81027,2400,917504,3682
2026-06-08T06:00:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.75968,2400,917504,3674
2026-06-08T06:05:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.860855,2400,917504,3680
2026-06-08T06:10:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.60792,2400,917504,3675
2026-06-08T06:15:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.40558,2400,917504,3668
2026-06-08T06:20:08-03:00,store-pilot-01,store-pilot-01-cam-01,55.1,36.557335,2400,917504,3669
2026-06-08T06:25:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.557335,2400,917504,3669
2026-06-08T06:30:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,36.75968,2400,917504,3668
2026-06-08T06:35:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.65851,2400,917504,3679
2026-06-08T06:40:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.456165,1900,917504,3674
2026-06-08T06:45:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.25382,2400,917504,3683
2026-06-08T06:50:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,36.65851,2400,917504,3685
2026-06-08T06:55:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.81027,2400,917504,3681
2026-06-08T07:00:08-03:00,store-pilot-01,store-pilot-01-cam-01,55.65,36.40558,2400,917504,3680
2026-06-08T07:05:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.65851,2400,917504,3684
2026-06-08T07:10:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.506752,2400,917504,3674
2026-06-08T07:15:08-03:00,store-pilot-01,store-pilot-01-cam-01,55.65,36.60792,2400,917504,3669
2026-06-08T07:20:08-03:00,store-pilot-01,store-pilot-01-cam-01,55.65,36.40558,2400,917504,3671
2026-06-08T07:25:08-03:00,store-pilot-01,store-pilot-01-cam-01,55.65,36.60792,2400,917504,3676
2026-06-08T07:30:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,35.84913,2400,917504,3667
2026-06-08T07:35:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.102062,2400,917504,3676
2026-06-08T07:40:08-03:00,store-pilot-01,store-pilot-01-cam-01,58.4,36.81027,2400,917504,3694
2026-06-08T07:45:08-03:00,store-pilot-01,store-pilot-01-cam-01,58.4,37.366714,2400,917504,3689
2026-06-08T07:50:08-03:00,store-pilot-01,store-pilot-01-cam-01,57.3,37.467888,2400,917504,3695
2026-06-08T07:55:08-03:00,store-pilot-01,store-pilot-01-cam-01,58.95,37.670235,2400,917504,3705
2026-06-08T08:00:08-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,36.354992,2400,917504,3662
2026-06-08T08:05:08-03:00,store-pilot-01,store-pilot-01-cam-01,57.85,36.25382,2400,917504,3667
2026-06-08T08:10:08-03:00,store-pilot-01,store-pilot-01-cam-01,57.3,36.20323,2400,917504,3671
2026-06-08T08:15:09-03:00,store-pilot-01,store-pilot-01-cam-01,57.3,37.4173,2400,917504,3685
2026-06-08T08:20:09-03:00,store-pilot-01,store-pilot-01-cam-01,57.3,37.56906,2400,917504,3683
2026-06-08T08:25:09-03:00,store-pilot-01,store-pilot-01-cam-01,58.95,37.518475,2400,917504,3689
2026-06-08T08:30:09-03:00,store-pilot-01,store-pilot-01-cam-01,57.85,36.75968,2400,917504,3669
2026-06-08T08:35:09-03:00,store-pilot-01,store-pilot-01-cam-01,57.85,36.557335,2400,917504,3665
2026-06-08T08:40:09-03:00,store-pilot-01,store-pilot-01-cam-01,57.85,37.82199,2400,917504,3689
2026-06-08T08:45:09-03:00,store-pilot-01,store-pilot-01-cam-01,57.3,36.557335,2400,917504,3674
2026-06-08T08:50:09-03:00,store-pilot-01,store-pilot-01-cam-01,55.1,34.483303,2400,917504,3698
2026-06-08T08:55:09-03:00,store-pilot-01,store-pilot-01-cam-01,58.4,35.19151,2400,917504,3667
2026-06-08T09:00:09-03:00,store-pilot-01,store-pilot-01-cam-01,57.3,36.557335,2400,917504,3681
2026-06-08T09:05:09-03:00,store-pilot-01,store-pilot-01-cam-01,57.85,37.01261,2400,917504,3690
2026-06-08T09:10:09-03:00,store-pilot-01,store-pilot-01-cam-01,55.65,35.950302,2400,917504,3658
2026-06-08T09:15:09-03:00,store-pilot-01,store-pilot-01-cam-01,57.85,37.4173,2400,917504,3684
2026-06-08T09:20:09-03:00,store-pilot-01,store-pilot-01-cam-01,57.85,37.56906,2400,917504,3693
2026-06-08T09:25:09-03:00,store-pilot-01,store-pilot-01-cam-01,57.3,37.720818,2400,917504,3696
2026-06-08T09:30:09-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.051476,2400,917504,3666
2026-06-08T09:35:09-03:00,store-pilot-01,store-pilot-01-cam-01,57.85,36.962025,2400,917504,3686
2026-06-08T09:40:09-03:00,store-pilot-01,store-pilot-01-cam-01,57.3,37.113785,2400,917504,3684
2026-06-08T09:45:09-03:00,store-pilot-01,store-pilot-01-cam-01,57.85,37.21496,2400,917504,3681
2026-06-08T09:50:09-03:00,store-pilot-01,store-pilot-01-cam-01,55.65,34.78682,2400,917504,6026
2026-06-08T09:55:09-03:00,store-pilot-01,store-pilot-01-cam-01,58.95,36.860855,2400,917504,3678
2026-06-08T10:00:09-03:00,store-pilot-01,store-pilot-01-cam-01,57.85,37.4173,2400,917504,3704
2026-06-08T10:05:09-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.051476,2400,917504,3670
2026-06-08T10:10:09-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,35.697372,2400,917504,6000
2026-06-08T10:15:09-03:00,store-pilot-01,store-pilot-01-cam-01,57.3,36.557335,2400,917504,3671
2026-06-08T10:20:09-03:00,store-pilot-01,store-pilot-01-cam-01,57.85,36.75968,2400,917504,3684
2026-06-08T10:25:09-03:00,store-pilot-01,store-pilot-01-cam-01,57.3,36.962025,2400,917504,3681
2026-06-08T10:30:09-03:00,store-pilot-01,store-pilot-01-cam-01,58.4,36.75968,2400,917504,5941
2026-06-08T10:35:09-03:00,store-pilot-01,store-pilot-01-cam-01,57.3,35.747955,2400,917504,3652
2026-06-08T10:40:09-03:00,store-pilot-01,store-pilot-01-cam-01,58.4,35.84913,2400,917504,5945
2026-06-08T10:45:09-03:00,store-pilot-01,store-pilot-01-cam-01,57.85,35.747955,2400,917504,3659
2026-06-08T10:50:09-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,34.887993,2400,917504,3654
2026-06-08T10:55:09-03:00,store-pilot-01,store-pilot-01-cam-01,54.55,34.331543,2400,917504,3674
2026-06-08T11:00:09-03:00,store-pilot-01,store-pilot-01-cam-01,57.3,36.506752,2400,917504,3670
2026-06-08T11:05:09-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,36.81027,2400,917504,3671
2026-06-08T11:10:09-03:00,store-pilot-01,store-pilot-01-cam-01,57.85,36.506752,2400,917504,3666
2026-06-08T11:15:09-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.75968,2400,917504,3676
2026-06-08T11:20:09-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.65851,2400,917504,3667
