timestamp,total_w,0V8_AON,0V8_SW,1V1_SYS,1V8_SYS,3V3_ADC,3V3_DAC,3V3_SYS,3V7_WL_SW,DDR_VDD2,DDR_VDDQ,HDMI,VDD_CORE
2026-06-21T14:46:08.312,3.055,0.0031,0.2615,0.2055,0.3793,0.0014,0.0008,0.6939,0.1708,0.0227,0.0000,0.1013,1.2149
2026-06-21T14:46:08.836,2.763,0.0035,0.2650,0.2051,0.3760,0.0006,0.0008,0.3972,0.1674,0.0108,0.0000,0.1057,1.2308
2026-06-21T14:46:09.359,2.769,0.0033,0.2658,0.2060,0.3770,0.0006,0.0008,0.4092,0.1744,0.0087,0.0000,0.1006,1.2227
2026-06-21T14:46:09.883,2.740,0.0035,0.2656,0.2032,0.3762,0.0016,0.0008,0.3943,0.1628,0.0120,0.0000,0.1050,1.2146
2026-06-21T14:46:10.410,2.756,0.0030,0.2659,0.2037,0.3775,0.0014,0.0000,0.4073,0.1710,0.0130,0.0000,0.1057,1.2076
2026-06-21T14:46:10.934,2.746,0.0027,0.2646,0.2033,0.3752,0.0006,0.0008,0.4082,0.1672,0.0141,0.0000,0.1025,1.2068
2026-06-21T14:46:11.457,2.743,0.0029,0.2608,0.2047,0.3769,0.0012,0.0000,0.4059,0.1707,0.0097,0.0000,0.1095,1.2002
2026-06-21T14:46:11.981,2.772,0.0033,0.2623,0.2166,0.3784,0.0012,0.0000,0.4067,0.1744,0.0152,0.0000,0.0998,1.2142
2026-06-21T14:46:12.508,2.752,0.0029,0.2621,0.2061,0.3739,0.0006,0.0008,0.4092,0.1708,0.0184,0.0000,0.1006,1.2068
2026-06-21T14:46:13.031,2.789,0.0029,0.2623,0.2042,0.3742,0.0014,0.0002,0.4299,0.1666,0.0152,0.0000,0.1013,1.2312
2026-06-21T14:46:13.556,2.357,0.0030,0.2650,0.2056,0.3634,0.0006,0.0008,0.5640,0.1744,0.0098,0.0000,0.1070,0.6631
2026-06-21T14:46:14.080,2.191,0.0030,0.2623,0.2036,0.3637,0.0006,0.0008,0.4164,0.1674,0.0141,0.0000,0.1083,0.6503
2026-06-21T14:46:14.608,2.214,0.0027,0.2638,0.2026,0.3619,0.0014,0.0000,0.4528,0.1630,0.0098,0.0000,0.1057,0.6503
