timestamp,total_w,0V8_AON,0V8_SW,1V1_SYS,1V8_SYS,3V3_ADC,3V3_DAC,3V3_SYS,3V7_WL_SW,DDR_VDD2,DDR_VDDQ,HDMI,VDD_CORE
2026-06-21T14:20:52.819,5.920,0.0030,0.4890,0.4096,0.3770,0.0006,0.0008,1.2156,0.2064,0.1276,0.0187,0.1039,2.9675
2026-06-21T14:20:53.343,4.260,0.0028,0.4394,0.4084,0.3973,0.0012,0.0000,1.1920,0.2002,0.0967,0.0006,0.1048,1.4170
2026-06-21T14:20:53.867,5.265,0.0029,0.2861,0.2256,0.4411,0.0012,0.0000,1.1807,0.2036,0.4408,0.0089,0.1051,2.3694
2026-06-21T14:20:54.392,4.008,0.0033,0.3946,0.4105,0.3899,0.0012,0.0000,1.1888,0.2649,0.0302,0.0018,0.1012,1.2215
2026-06-21T14:20:54.916,4.116,0.0033,0.4447,0.4189,0.3935,0.0014,0.0008,1.1891,0.1999,0.0957,0.0000,0.1061,1.2621
2026-06-21T14:20:55.441,8.737,0.0030,0.4478,0.4221,0.4200,0.0014,0.0000,1.1913,0.2539,0.3793,0.0000,0.1046,5.5132
2026-06-21T14:20:55.965,5.356,0.0032,0.4351,0.4079,0.3812,0.0012,0.0000,1.1852,0.2002,0.1251,0.0018,0.1065,2.5080
2026-06-21T14:20:56.489,5.072,0.0030,0.3605,0.2279,0.4130,0.0006,0.0008,1.1303,0.2110,0.3738,0.0006,0.1054,2.2448
2026-06-21T14:20:57.014,5.538,0.0030,0.4875,0.4239,0.3796,0.0014,0.0002,1.2048,0.1923,0.4381,0.0030,0.1055,2.2990
2026-06-21T14:20:57.539,4.127,0.0030,0.4441,0.4092,0.4131,0.0006,0.0008,1.1951,0.1966,0.0971,0.0012,0.1040,1.2621
2026-06-21T14:20:58.064,6.314,0.0031,0.3413,0.2440,0.4078,0.0014,0.0000,1.1756,0.2543,0.2871,0.0104,0.1061,3.4825
2026-06-21T14:20:58.589,3.604,0.0030,0.3922,0.4074,0.3674,0.0006,0.0008,1.1733,0.2028,0.0334,0.0000,0.0995,0.9240
2026-06-21T14:20:59.118,3.843,0.0030,0.4402,0.4195,0.3819,0.0006,0.0008,1.2049,0.2582,0.1478,0.0000,0.1078,0.8780
2026-06-21T14:20:59.644,4.447,0.0029,0.4030,0.4081,0.4095,0.0006,0.0008,1.1816,0.2037,0.1738,0.0006,0.1045,1.5582
2026-06-21T14:21:00.168,4.122,0.0031,0.3554,0.2270,0.4026,0.0012,0.0000,1.1917,0.2254,0.2001,0.0000,0.1048,1.4113
2026-06-21T14:21:00.694,4.465,0.0031,0.4100,0.4074,0.3707,0.0014,0.0008,1.1874,0.1564,0.0334,0.0006,0.1005,1.7929
2026-06-21T14:21:01.219,3.715,0.0028,0.4175,0.4185,0.3814,0.0014,0.0002,1.1969,0.2028,0.1098,0.0015,0.1044,0.8777
2026-06-21T14:21:01.744,6.706,0.0029,0.4484,0.4070,0.4294,0.0014,0.0000,1.1791,0.2510,0.3585,0.0021,0.1061,3.5200
2026-06-21T14:21:02.273,4.545,0.0029,0.4079,0.4221,0.3885,0.0014,0.0002,1.1919,0.2027,0.1384,0.0012,0.1057,1.6821
2026-06-21T14:21:02.797,3.968,0.0029,0.3404,0.2264,0.3937,0.0006,0.0000,1.0886,0.2191,0.1293,0.0024,0.1040,1.4609
2026-06-21T14:21:03.322,3.778,0.0029,0.3955,0.4204,0.4060,0.0006,0.0008,1.1784,0.2037,0.2035,0.0000,0.1023,0.8636
2026-06-21T14:21:03.847,4.121,0.0031,0.4161,0.3969,0.3885,0.0014,0.0000,1.1733,0.2002,0.1159,0.0018,0.1072,1.3168
2026-06-21T14:21:04.372,5.971,0.0028,0.2994,0.2278,0.4412,0.0014,0.0000,1.1054,0.1956,0.1974,0.0083,0.1021,3.3900
2026-06-21T14:21:04.896,4.586,0.0029,0.4749,0.4063,0.3812,0.0014,0.0008,1.1942,0.1924,0.3359,0.0089,0.1038,1.4830
2026-06-21T14:21:05.421,3.852,0.0030,0.4404,0.4200,0.3850,0.0014,0.0000,1.1991,0.2533,0.1624,0.0021,0.1074,0.8777
2026-06-21T14:21:05.954,3.804,0.0031,0.4502,0.4170,0.3809,0.0014,0.0000,1.1918,0.1956,0.1054,0.0000,0.1071,0.9517
2026-06-21T14:21:06.479,6.127,0.0029,0.3188,0.2268,0.4008,0.0014,0.0002,1.1107,0.2473,0.2087,0.0036,0.1091,3.4966
2026-06-21T14:21:07.003,4.523,0.0032,0.4752,0.4194,0.4160,0.0014,0.0000,1.1788,0.2028,0.1294,0.0021,0.1041,1.5901
2026-06-21T14:21:07.530,3.663,0.0031,0.4464,0.4198,0.3832,0.0006,0.0008,1.1791,0.2071,0.0516,0.0000,0.1075,0.8639
2026-06-21T14:21:08.056,4.360,0.0029,0.4019,0.4074,0.3885,0.0014,0.0008,1.1733,0.2027,0.1348,0.0012,0.1080,1.5376
2026-06-21T14:21:08.581,4.616,0.0029,0.3417,0.2291,0.3901,0.0006,0.0008,1.1012,0.1995,0.4236,0.0000,0.1010,1.8255
2026-06-21T14:21:09.106,4.142,0.0033,0.4012,0.4173,0.4131,0.0014,0.0000,1.2276,0.2510,0.3340,0.0095,0.1019,0.9820
2026-06-21T14:21:09.631,3.797,0.0031,0.4467,0.4152,0.3815,0.0014,0.0000,1.2088,0.2000,0.0967,0.0012,0.1046,0.9377
2026-06-21T14:21:10.156,6.049,0.0029,0.3045,0.2302,0.4342,0.0006,0.0008,1.0899,0.1964,0.2360,0.0084,0.1054,3.4392
2026-06-21T14:21:10.680,4.704,0.0028,0.4754,0.4108,0.3809,0.0014,0.0000,1.1788,0.2075,0.4363,0.0003,0.1009,1.5090
2026-06-21T14:21:11.210,3.814,0.0031,0.4398,0.4185,0.3886,0.0014,0.0000,1.1855,0.1883,0.1575,0.0006,0.1074,0.9231
2026-06-21T14:21:11.734,4.582,0.0029,0.4087,0.4081,0.3851,0.0014,0.0000,1.1316,0.2105,0.1797,0.0015,0.1049,1.7477
2026-06-21T14:21:12.259,4.023,0.0029,0.2911,0.2278,0.4183,0.0014,0.0002,1.0983,0.1633,0.2846,0.0000,0.1097,1.4258
2026-06-21T14:21:12.786,4.556,0.0029,0.4077,0.4037,0.4149,0.0014,0.0000,1.1959,0.2546,0.3379,0.0033,0.1025,1.4316
2026-06-21T14:21:13.311,3.751,0.0030,0.4418,0.4178,0.3741,0.0014,0.0000,1.1801,0.2041,0.1500,0.0000,0.1072,0.8712
2026-06-21T14:21:13.939,6.155,0.0030,0.3111,0.2280,0.4150,0.0014,0.0000,1.1128,0.2568,0.2666,0.0077,0.1068,3.4462
2026-06-21T14:21:14.463,4.528,0.0027,0.4729,0.4097,0.3847,0.0006,0.0008,1.1788,0.1811,0.3230,0.0092,0.1019,1.4629
